Stato,AbbStato,Popolazione,Capitale
ALABAMA,AL,5024279,MONTGOMERY
ALASKA,AK,733391,JUNEAU
ARIZONA,AZ,7151502,PHOENIX
ARKANSAS,AR,3011524,LITTLE ROCK
CALIFORNIA,CF,39538223,SACRAMENTO
COLORADO,CL,5773714,DENVER
CONNECTICUT,CT,3605944,HARTFORD
DELAWARE,DL,989948,DOVER
FLORIDA,FL,21538187,TALLAHASSEE
GEORGIA,GA,10711908,ATLANTA
HAWAII,HA,1455271,HONOLULU
IDAHO,ID,1839106,BOISE
ILLINOIS,IL,12812508,SPRINGFIELD
INDIANA,IN,6785528,INDIANAPOLIS
IOWA,IA,3190369,DES MOINES
KANSAS,KA,2937880,TOPEKA
KENTUCKY,KY,4505836,FRANKFORT
LOUISIANA,LA,4657757,BATON ROUGE
MAINE,ME,1362359,AUGUSTA
MARYLAND,MD,6177224,ANNAPOLIS
MASSACHUSETTS,MS,7029917,BOSTON
MICHIGAN,MC,10077331,LANSING
MINNESOTA,MN,5706494,SAINT PAUL
MISSISSIPPI,MI,2961279,JACKSON
MISSOURI,MO,6154913,JEFFERSON CITY
MONTANA,MT,1084225,HELENA
NEBRASKA,NB,1961504,LINCOLN
NEVADA,NV,3104614,CARSON CITY
NEW HAMPSHIRE,NH,1377529,CONCORD
NEW JERSEY,NJ,9288994,TRENTON
NEW YORK,NY,20201249,ALBANY
OHIO,OH,11799448,COLUMBUS
OKLAHOMA,OK,3959353,OKLAHOMA CITY
OREGON,OR,4237256,SALEM
PENNSYLVANIA,PA,13002700,HARRISBURG
RHODE ISLAND,RI,1097379,PROVIDENCE
TENNESSEE,TN,6910840,NASHVILLE
TEXAS,TX,29145505,AUSTIN
UTAH,UT,3271616,SALT LAKE CITY
VERMONT,VT,643077,MONTPELIER
VIRGINIA,VA,8631393,RICHMOND
WASHINGTON,WN,7705281,OLYMPIA
WISCONSIN,WS,5893718,MADISON
WYOMING,WY,576851,CHEYENNE
